Location	Collection location	ESU
KlamathEntry	Klamath River estuary	Upper Klamath/Trinity
Salmon	Salmon River	Upper Klamath/Trinity
ColemanLF	Battle Creek	Central Valley fall/late-fall
Siletz	Siletz River	Oregon Coast
IGH	Klamath River - Iron Gate hatchery	Upper Klamath/Trinity
FRH	Feather River hatchery	Central Valley spring and Central Valley fall/late-fall
Keswick_WR	Sacramento River - Keswick Dam	Sacramento River winter-run
EelVAfl	Eel River - Van Arsdale	California Coastal
Trinity	Trinity River hatchery	Upper Klamath/Trinity
RussianWSH	Russian River - Warm Springs	California Coastal
Butte	Butte Creek	Central Valley spring and Central Valley fall/late-fall
